YEAR,MO,DY,HR,WS10M
2023,2,19,7,1.04
2023,2,19,8,1.2
2023,2,19,9,1.47
2023,2,19,10,1.52
2023,2,19,11,1.53
2023,2,19,12,2.21
2023,2,19,13,2.76
2023,2,19,14,2.97
2023,2,19,15,3.13
2023,2,19,16,3.41
2023,2,19,17,3.63
2023,2,19,18,3.67
2023,2,19,19,3.53
2023,2,19,20,3.31
2023,2,19,21,3.02
2023,2,19,22,2.3
2023,2,19,23,1.8
2023,2,20,0,1.34
2023,2,20,1,1.13
2023,2,20,2,1.15
2023,2,20,3,1.12
2023,2,20,4,1.17
2023,2,20,5,1.13
2023,2,20,6,0.9
2023,2,20,7,0.85
2023,2,20,8,0.92
2023,2,20,9,0.94
2023,2,20,10,0.88
2023,2,20,11,0.86
2023,2,20,12,1.88
2023,2,20,13,2.65
2023,2,20,14,3.0
2023,2,20,15,3.04
2023,2,20,16,3.02
2023,2,20,17,3.03
2023,2,20,18,2.94
2023,2,20,19,2.79
2023,2,20,20,2.67
2023,2,20,21,2.5
2023,2,20,22,2.1
2023,2,20,23,1.63
2023,2,21,0,1.45
2023,2,21,1,1.3
2023,2,21,2,1.14
2023,2,21,3,0.94
2023,2,21,4,0.81
2023,2,21,5,0.81
2023,2,21,6,0.77
2023,2,21,7,0.74
2023,2,21,8,0.9
2023,2,21,9,1.14
2023,2,21,10,1.25
2023,2,21,11,1.33
2023,2,21,12,2.14
2023,2,21,13,2.72
2023,2,21,14,2.73
2023,2,21,15,2.63
2023,2,21,16,2.6
2023,2,21,17,2.52
2023,2,21,18,2.41
2023,2,21,19,2.3
2023,2,21,20,2.28
2023,2,21,21,2.22
2023,2,21,22,1.81
2023,2,21,23,1.44
2023,2,22,0,1.53
2023,2,22,1,1.57
2023,2,22,2,1.6
2023,2,22,3,1.47
2023,2,22,4,1.18
2023,2,22,5,1.07
2023,2,22,6,1.19
2023,2,22,7,1.35
2023,2,22,8,1.39
2023,2,22,9,1.38
2023,2,22,10,1.53
2023,2,22,11,1.66
2023,2,22,12,2.43
2023,2,22,13,3.05
2023,2,22,14,3.19
2023,2,22,15,3.09
2023,2,22,16,3.09
2023,2,22,17,3.13
2023,2,22,18,3.03
2023,2,22,19,2.84
2023,2,22,20,2.63
2023,2,22,21,2.33
2023,2,22,22,1.71
2023,2,22,23,1.29
2023,2,23,0,1.09
2023,2,23,1,1.08
2023,2,23,2,1.12
2023,2,23,3,1.1
2023,2,23,4,1.07
2023,2,23,5,1.05
2023,2,23,6,1.06
2023,2,23,7,1.2
2023,2,23,8,1.24
2023,2,23,9,1.26
2023,2,23,10,1.25
2023,2,23,11,1.41
2023,2,23,12,2.41
2023,2,23,13,3.34
2023,2,23,14,3.61
2023,2,23,15,3.73
2023,2,23,16,3.86
2023,2,23,17,3.94
2023,2,23,18,3.95
2023,2,23,19,3.84
2023,2,23,20,3.63
2023,2,23,21,3.25
2023,2,23,22,2.37
2023,2,23,23,1.62
2023,2,24,0,1.2
2023,2,24,1,1.03
2023,2,24,2,1.03
2023,2,24,3,1.08
2023,2,24,4,1.13
2023,2,24,5,1.29
2023,2,24,6,1.33
2023,2,24,7,1.32
2023,2,24,8,1.25
2023,2,24,9,1.26
2023,2,24,10,1.32
2023,2,24,11,1.7
2023,2,24,12,2.88
2023,2,24,13,3.9
2023,2,24,14,4.25
2023,2,24,15,4.24
2023,2,24,16,4.08
2023,2,24,17,3.92
2023,2,24,18,3.78
2023,2,24,19,3.7
